@relation whatever

@attribute Name { AddamMarbrand , AegonFrey(Jinglebell) , AegonTargaryen , AdrackHumble , AemonCostayne , AemonEstermont , AemonTargaryen(sonofMaekarI) , AenysFrey , AeronGreyjoy , Aethan , Aggar , Aggo , AlanofRosby , Alayaya , AlbarRoyce , Albett , Alebelly , AlerieHightower , AlesanderStaedmon , AlesterFlorent , AliaofBraavos , AllaTyrell , AllardSeaworth , AlliserThorne , Alyn , AlynAmbrose , AlynEstermont , AlynStackspear , AlysKarstark , AlysaneMormont , AlyxFrey , Ambrode , AmoryLorch , AndarRoyce , AndrewEstermont , AndreyDalt , Andrik , Anguy , AntarioJast , AnvilRyn , AnyaWaynwood , ArchibaldYronwood , ArdrianCeltigar , AreoHotah , ArianneMartell , Arneld , ArnolfKarstark , AronSantagar , Arron , ArronQorgyle , Arryk(Guard) , Arson , ArthorKarstark , ArwynFrey , ArwynOakheart , AryaStark , ArysOakheart , AshaGreyjoy , AuraneWaters , AxellFlorent , Azzak , Ballabar , BalonSwann , Bannen , BarbreyDustin , Barra , BarristanSelmy , Barsena , Barth(brewer) , Bass , BayardNorcross , BeardedBen , Becca , BeccatheBaker , Bedwyck , Belaquo , Bella , BellegereOtherys(courtesan) , BellonaraOtherys , Belwas , Ben , BenBones , BenPlumm , BenedarBelmore , BenfredTallhart , BenfreyFrey , BenjenStark , Bennet , BericDondarrion , Bessa(Winterfell) , BethCassel , BhakazzoLoraq , BigBoil , BigWalderFrey , Biter , BlackBernarr , BlackWalderFrey , Blane , Bloodbeard , BlueBard , BoniferHasty , Borcas , BoremundHarlaw , BorosBlount , Borroq , BowenMarsh , BranStark , BrandonNorrey , Brenett , BrienneofTarth , Bronn , BrownBernarr , Brusco , BryanFossoway , BryceCaron , Bryen , BryenFarring , BryndenRivers , BryndenTully , BurtonCrakehall , Butterbumps , ByamFlint , ByanVotyris , Byron , Cadwyn , Caleotte , CatelynTully , Cayn , Cellador , CerseiFrey , CerseiLannister , Chataya , Chayle , Chella , Chett , Chiggen , Chiswyck , ClaytonSuggs , ClementPiper , CleosFrey , CleyCerwyn , ClubfootKarl , Clydas , Cohollo , Coldhands , Colemon , ColenofGreenpools , Conn , Conwy , CorlissPenny , CortnayPenrose , CotterPyke , Cragorn , Craster , CreganKarstark , CreightonLongbough , Cressen , Cuger , Cutjack , DaarioNaharis , DaceyMormont , DaemonSand , DaenerysTargaryen , DagonCodd , Dagmer , Dalbridge , DaleSeaworth , Dalla , Dalla(Dragonstone) , DamonDance-for-Me , DamonVypren , Dancy , DanwellFrey , Dareon , DarynHornwood , DavenLannister , DavosSeaworth , Del , Delp , DenysDrumm , DenysMallister , Dermot , Desmond , DesmondGrell , DevanSeaworth , DezielDalt , Dhazzar , DickCrabb , DickFollard , DickonManwoody , Dirk , Dobber , DonalNoye , DonellaHornwood , DonnelDrumm , DonnelHaigh , DonnelHill , DonnelLocke , DonnelWaynwood , Donnis , DontosHollard , Donyse , DoranMartell , Doreah , DornishDilly , Draqaz , Drennan , Drogo , Dudley , Dunsen , DunstanDrumm , DuramBarEmmon , DykkHarlaw , Dywen , Easy , Ebben , EddardKarstark , EddardStark , EddisonTollett , EdmureTully , EdricDayne , EdricStorm , EdwynFrey , Eggon , ElderBrother , EldredCodd , EleynaWesterling , ElinorTyrell , EllariaSand , ElmarFrey , ElyasWillum , EmmonCuy , EmmonFrey , Emmond , Emrick , Endehar , Elwood , EndrewTarth , Enger , EonHunter , ErikIronmaker , ErmesandeHayford , Eroeh , Erreck , Erryk(Guard) , Esgred , Ezzara , FaliaFlowers , FalyseStokeworth , Farlen , FatWaldaFrey , FlementBrax , FletcherWill , Fogo , ForleyPrester , Fornio , Frenken , Frenya , Frynne , Gage , GalazzaGalare , GalbartGlover , Gared , Garin(Orphan) , Gariss , GarlanTyrell , GarrettPaege , GarseGoodbrook , GarthGreyfeather , GarthofGreenaway , GarthofOldtown , GawenWesterling , Gelmarr , Gendry , GennaLannister , GeraldGower , GeroldDayne , Gerren , GerrisDrinkwater , GevinHarlaw , Ghael , GhostofHighHeart , Gillam , Gilly , GilwoodHunter , GladdenWylde , GlendonHewett , Goady , GodricBorrell , GodryFarring , Godwyn , Goghor , GormondGoodbrother , GoroldGoodbrother , GranGoodbrother , Grazdan , GrazdanmoEraz , GrazdanmoUllhor , GrazdanzoGalare , GrazdarzoGalare , GregorClegane , Grenn , GreyWorm , GreydonGoodbrother , Grigg , Grisel , Groleo , Grubbs , Grunt , Gueren , GuncerSunglass , GuyardMorrigen , GwinGoodbrother , GylbertFarwynd , GylesFarwynd , GylesGrafton , GylesRosby , Gynir , GysellaGoodbrother , Haggo , HairyHal , Hake , Halder , Haldon , Hali , HallisMollen , Hallyne , HalysHornwood , HamishtheHarper , Hareth(MolesTown) , Harghaz , Harma , HarmundSharp , Harmune , Harra , HarragSharp , HarrasHarlaw , HarwoodFell , Hazzea , HarrionKarstark , HarryStrickland , Harwin , HarwoodStout , HarysHaigh , HarysSwyft , HelmanTallhart , Henly(Maester) , Heward , HighSparrow , Hobb , HobberRedwyne , Hod , Hodor , Holger , Holly , Hop-Robin , HorasRedwyne , HortonRedfort , HosteenFrey , HosterTully , HotPie , HotherUmber , HowdWanderer , HubardRambton , Hugh , HugoVance , Hullen , HumfreySwyft , Husband , HyleHunt , Iggo , IllyrioMopatis , IlynPayne , ImryFlorent , IronEmmett , Irri , Ithoke , JacelynBywater , JackBulwer , Jack-Be-Lucky , Jacks , Jaggot , JaimeLannister , JalabharXho , JannaTyrell , JanosSlynt , JaqenHghar , JaredFrey , JaremyRykker , Jarl , JarmanBuckwell , JasonMallister , Jate , JateBlackberry , JeorMormont , Jeren , JeynePoole , JeyneWesterling , Jhaqo , Jhezane , Jhiqui , Jhogo , JocelynSwyft , Jodge , JojenReed , Jommy , JonBettley , JonConnington , JonFossoway , JonSnow , JonUmber(Greatjon) , JoffreyBaratheon , JonUmber(Smalljon) , JonelleCerwyn , JonosBracken , JorahMormont , JoryCassel , Joseran , Joseth , JosmynPeckledon , Joss , JossStilwood , JosuaWillum , JothosSlynt , JoyeuseErenford , JustinMassey , Jyck , JynessaBlackmont , KarylVance , KedgeWhiteye , Kella , KennosofKayce , Ketter , Kenned , Kerwin , KevanLannister , Kezmya , KhoraneSathmantes , Khrazz , Kindlyman , KojjaMo , Koss , KraznysmoNakloz , Kromm , Kurleket , Kurz , Kyle(Banners) , Kyra , LadyoftheLeaves , LambertTurnberry , Lamprey , LancelLannister , Lanna(HappyPort) , Lark , LarraBlackmont , Larraq , Leathers , LeftHandLew , Lem , Lennocks , LenwoodTawney , LeoLefford , LeoTyrell , LeobaldTallhart , LeonaWoolfield , LeonetteFossoway , Lew , LewisLanster , LewysLydden , LewysPiper , Lharys , LittleWalderFrey , LollysStokeworth , Lommy , LorasTyrell , Lorcas , LordofBones , LorentCaswell , Lorren , LotharFrey , LothorBrune , Lucan , LucasBlackwood , LucasCodd , LuciasVypren , LucoPrestayn , LukeofLongtown , Luton , Luwin , LyleCrakehall , LymanDarry , LymondGoodbrook , LymondLychester , LynCorbray , Lyonel , LysaTully , LysonoMaar , MaceTyrell , MadHuntsman , MaegeMormont , Maerie(Goodwife) , Maerie(Whore) , MagMarTunDohWeg , Mago , MalladorLocke , Malliard , Mallor , ManceRayder , MandonMoore , MaricSeaworth , Marei , MargaeryTyrell , Marillion , Maris , MarissaFrey , MariyaDarry , MarkMullendore , MarlonManderly , MaronVolmark , MarqPiper , MartynRivers , Marwyn , MarwynBelmore , MashaHeddle , Maslyn , MathisRowan , MathosMallarawan , Matrice , MatthosSeaworth , Matthar , Mawney , Mebble , MedgerCerwyn , MeeraReed , MeggaTyrell , Meha , Mela , MeldredMerlyn , Meliana , Melisandre , Mellei , Melly , MeredythCrane , Meribald , MerlonCrakehall , Mero , MerrettFrey , MerynTrant , Mezzara , Mikken , Miklaz , MirriMazDuur , Missandei , Mohor , Mollander , MonfordVelaryon , Monster , MoonBoy , Moqorro , Mord , Mordane , MoreoTumitis , Morgarth , MornaWhiteMask , Moro , Morra , Morrec , MorrosSlynt , MorsManwoody , MorsUmber , MortonWaynwood , Mudge(miller) , Mully , Munciter , Murch , Murch(Winterfell) , Mossador , Murenmure , MutteringBill , MyaStone , Mycah , Myles , MylesManwoody , MyrandaRoyce , MyrcellaBaratheon , MyriaJordayne , Myrtle , Nage , Nan , Narbert , NestorRoyce , Nolla , Norjen , Nurse , Notch , Nute , NymellaToland , NymeriaSand , ObaraSand , OberynMartell , Ogo , OldHenly , OlennaRedwyne , OlloLophand , OlyvarFrey , OndrewLocke , Oppo , Orell , OrphanOss , OrtonMerryweather , OsfrydKettleblack , Osha , OsmundKettleblack , OsneyKettleblack , Ossy , OswellKettleblack , OthellYarwyck , OttynWythers , Owen , OwenNorrey , OznakzoPahl , Palla , ParmenCrane , Patchface , Pate(novice) , Pate(Lancewood) , Pate(NightsWatch) , Pate(Old) , PatrekofKingsMountain , PatrekMallister , PaxterRedwyne , Pello , Penny , PerrosBlackmont , PerwynFrey , PetyrBaelish , PetyrFrey , PhilipFoote , Pia , PodrickPayne , Polliver , Pono , Porridge , Porther , PoulPemford , PoxyTym , Praed , PrendahlnaGhezn , PrestonGreenfield , PyatPree , Pycelle , Pyg , Pylos , Pypar , QarlShepherd , QarltheMaid , Qezza , QhorinHalfhand , Qotho , Quaithe , Quaro , QuellonHumble , Quent , QuentenBanefort , QuentynMartell , QuhuruMo , Qyburn , Quort , Qyle , Rafford , RagnorPyke , Ragwyle , Rakharo , RalfKenning , RalfStonehouse , RalftheLimper , RamsaySnow , Randa , RandyllTarly , Rast , RavellaSwann , RaymarRoyce , RaymunDarry , RaymundFrey , RaynaldWesterling , RedAlyn , RedRolfe , Reek , RenlyBaratheon , Reysen , ReznakmoReznak , RhaegarFrey , Rhogoro , Ricasso , RichardHorpe , RickardKarstark , RickardRyswell , RickonStark , Rigney , RobarRoyce , RobbStark , RobertBaratheon , RobertArryn , RobettGlover , RobinFlint , RobinMoreland , RobinRyger , RodrikCassel , RodrikHarlaw , RodrikRyswell , RogerHogg , RogerRyswell , RolandCrakehall(Lord) , Rolder , Rolfe , RollamWesterling , RolfetheDwarf , Rolley , RollyDuckfield , RolphSpicer , RomnyWeaver , RonaldStorm , RonnelHarclay , RonnetConnington , RooseBolton , RooseRyswell , Rorge , RoslinFrey , Rowan , Rudge , RustyFlowers , RygerRivers , Ryk , RupertBrax , RymanFrey , RymolfStormdrunk , RyonAllyrion , SalladhorSaan , Sallor , SamwellTarly , SandorClegane , SawaneBotley , SansaStark , SarellaSand , SarraFrey , Satin , Sawwood , Sedgekins , SelyseFlorent , Senelle , SerraFrey , Shadrich , Shae , Shagga , Shagwell , Sharna , ShireenBaratheon , ShireiFrey , ShyraErrol , SigfryStonetree , SkahazmoKandaq , Skinner , SmallPaul , Softfoot , SourAlyn , SpareBoot , SpottedCat , SpottedPateofMaidenpool , Squint , Squirrel , StalwartShield , Steelskin , SteffonSwyft , StevronFrey , Stiv , StoneThumbs , Stonesnake , Stygg , Styr , Sybassion , SybellSpicer , SybelleGlover , SylvaSantagar , SymonSilverTongue , SymonStripeback , SymondFrey , SymondTempleton , SyrioForel , TaenaofMyr , TalToraq , Tallad , TandaStokeworth , TantonFossoway , TernesioTerys , TerranceLynderly , TheRedLamb , TheoFrey , TheodanWells , TheomoreLannister , TheonGreyjoy , Thistle , ThorenSmallwood , Thoros , ThreeToes , Three-Tooth , Tickler , TimTangletongue , Timeon , Timett , Timon , TionFrey , TobhoMott , Todder , Todric , TomofSevenstreams , Tomard , Tormund , Torrek , TorrhenKarstark , Tothmure , Tregar , TremondGargalen , TristiferBotley , TristonSunderland , Tuffleberry , Tumberjon , TumcoLho , TyberoIstarion , TychoNestoris , TyeneSand , Tymor , TyrekLannister , TyrionLannister , TytaFrey , TytosBlackwood , TytosBrax , TytosFrey , TywinLannister , UlfsonofUmar , UlftheIll , Ulmer , UlwyckUller , Umar , Umfred , Unella , Urreg , Urswyck , UtherydesWayn , Utt , Val , Varamyr , VardisEgen , VargoHoat , Varys , VayonPoole , VictarionGreyjoy , ViserysTargaryen , Vylarr , Vyman , Waif , WaldaRivers(daughterofAemon) , WalderFrey , WalderRivers , Wallen , Walton , Wat(orphan) , Wat(sailor) , Watt , Watty , WaymarRoyce , Wayn(guard) , Weasel , Weeper , Weese , WendelManderly , WendelloQarDeeth , Werlag , WexPyke , WhalenFrey , Wilbert , Will , Will(orphan) , WillamWells , WillemLannister , WilliamMooton , WillisWode , Willit , WillowWitch-eye , Willum , Woth , Wulfe , WunWegWunDarWun , Wyl(guard) , WyltheWhittler , WylisManderly , WyllaManderly , WymanManderly , WynafrydManderly , WyntonStout , XaroXhoanDaxos , Xhondo , Yandry , YellowDick , YgonFarwynd , Ygritte , YohnFarwynd , YohnRoyce , Yoren , YoungHenly , Ysilla , Zei , Zollo , YurkhazzoYunzak , YezzanZoQaggaz , TorwyndtheTame , TalbertSerry } 
@attribute House { Lannister , None , HouseTargaryen , HouseGreyjoy , Baratheon , NightsWatch , Arryn , HouseStark , HouseTyrell , Tyrell , Stark , Greyjoy , HouseLannister , Martell , HouseMartell , Wildling , Targaryen , HouseArryn , HouseTully , Tully , HouseBaratheon } 
@attribute Gender { M , F } 
@attribute Nobility { 1 , 0 } 
@attribute Survives { 1 , 0 } 
@attribute Book1 { 1 , 0 } 
@attribute Book2 { 1 , 0 } 
@attribute Book3 { 1 , 0 } 
@attribute Book4 { 1 , 0 } 
@attribute Book5 { 0 , 1 } 


@data
AddamMarbrand , Lannister , M , 1 , 1 , 1 , 1 , 1 , 1 , 0 
AegonFrey(Jinglebell) , None , M , 1 , 0 , 0 , 0 , 1 , 0 , 0 
AegonTargaryen , HouseTargaryen , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
AdrackHumble , HouseGreyjoy , M , 1 , 0 , 0 , 0 , 0 , 0 , 1 
AemonCostayne , Lannister , M , 1 , 1 , 0 , 0 , 1 , 0 , 0 
AemonEstermont , Baratheon , M , 1 , 1 , 0 , 1 , 1 , 0 , 0 
AemonTargaryen(sonofMaekarI) , NightsWatch , M , 1 , 0 , 1 , 0 , 1 , 1 , 0 
AenysFrey , None , F , 1 , 0 , 1 , 1 , 1 , 0 , 1 
AeronGreyjoy , HouseGreyjoy , M , 1 , 1 , 0 , 1 , 0 , 1 , 0 
Aethan , NightsWatch , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
Aggar , HouseGreyjoy , M , 0 , 0 , 0 , 1 , 0 , 0 , 0 
Aggo , HouseTargaryen , M , 0 , 1 , 1 , 1 , 1 , 0 , 1 
AlanofRosby , NightsWatch , M , 1 , 0 , 0 , 1 , 1 , 0 , 1 
Alayaya , None , F , 0 , 1 , 0 , 1 , 0 , 0 , 0 
AlbarRoyce , Arryn , M , 1 , 1 , 1 , 0 , 0 , 1 , 0 
Albett , NightsWatch , M , 0 , 1 , 1 , 0 , 0 , 0 , 0 
Alebelly , HouseStark , M , 0 , 0 , 0 , 1 , 0 , 0 , 0 
AlerieHightower , HouseTyrell , F , 1 , 1 , 0 , 0 , 1 , 1 , 0 
AlesanderStaedmon , Baratheon , M , 1 , 1 , 0 , 1 , 0 , 0 , 0 
AlesterFlorent , Baratheon , M , 1 , 0 , 0 , 1 , 1 , 0 , 0 
AliaofBraavos , None , F , 0 , 1 , 1 , 0 , 0 , 0 , 0 
AllaTyrell , HouseTyrell , F , 1 , 1 , 0 , 0 , 1 , 1 , 0 
AllardSeaworth , Baratheon , M , 1 , 0 , 0 , 1 , 0 , 0 , 0 
AlliserThorne , NightsWatch , M , 0 , 1 , 1 , 1 , 1 , 0 , 1 
Alyn , HouseStark , M , 0 , 0 , 1 , 0 , 0 , 0 , 0 
AlynAmbrose , Tyrell , M , 1 , 1 , 0 , 1 , 0 , 1 , 0 
AlynEstermont , Baratheon , M , 1 , 1 , 0 , 1 , 1 , 0 , 0 
AlynStackspear , Lannister , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
AlysKarstark , Stark , F , 1 , 1 , 0 , 0 , 0 , 0 , 1 
AlysaneMormont , Stark , F , 1 , 1 , 0 , 0 , 0 , 0 , 1 
AlyxFrey , None , M , 1 , 1 , 0 , 0 , 1 , 0 , 0 
Ambrode , Greyjoy , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
AmoryLorch , HouseLannister , M , 1 , 0 , 0 , 1 , 0 , 0 , 0 
AndarRoyce , Arryn , M , 1 , 1 , 1 , 0 , 0 , 0 , 0 
AndrewEstermont , Baratheon , M , 1 , 1 , 0 , 0 , 1 , 0 , 0 
AndreyDalt , Martell , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
Andrik , Greyjoy , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
Anguy , None , M , 0 , 1 , 1 , 0 , 1 , 0 , 0 
AntarioJast , Lannister , M , 1 , 1 , 0 , 1 , 0 , 0 , 0 
AnvilRyn , None , M , 0 , 0 , 0 , 0 , 1 , 0 , 0 
AnyaWaynwood , Arryn , F , 1 , 1 , 1 , 0 , 0 , 1 , 0 
ArchibaldYronwood , Martell , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
ArdrianCeltigar , Baratheon , M , 1 , 1 , 0 , 1 , 1 , 0 , 0 
AreoHotah , HouseMartell , M , 0 , 1 , 0 , 0 , 0 , 1 , 1 
ArianneMartell , HouseMartell , F , 1 , 1 , 0 , 0 , 0 , 1 , 1 
Arneld , Lannister , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
ArnolfKarstark , Stark , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
AronSantagar , Lannister , M , 1 , 0 , 1 , 1 , 0 , 0 , 0 
Arron , NightsWatch , M , 0 , 1 , 0 , 0 , 1 , 0 , 1 
ArronQorgyle , Martell , M , 1 , 1 , 0 , 0 , 1 , 0 , 0 
Arryk(Guard) , HouseTyrell , M , 0 , 1 , 0 , 0 , 1 , 1 , 0 
Arson , Wildling , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
ArthorKarstark , Stark , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
ArwynFrey , None , F , 1 , 1 , 0 , 0 , 1 , 0 , 0 
ArwynOakheart , Tyrell , F , 1 , 1 , 0 , 1 , 0 , 0 , 0 
AryaStark , Stark , F , 1 , 1 , 1 , 1 , 1 , 1 , 1 
ArysOakheart , Lannister , M , 1 , 0 , 1 , 1 , 0 , 1 , 0 
AshaGreyjoy , HouseGreyjoy , F , 1 , 1 , 0 , 1 , 0 , 1 , 1 
AuraneWaters , Lannister , M , 0 , 1 , 0 , 1 , 0 , 1 , 0 
AxellFlorent , Baratheon , M , 1 , 1 , 0 , 1 , 1 , 0 , 1 
Azzak , None , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
Ballabar , Lannister , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
BalonSwann , Lannister , M , 1 , 1 , 1 , 1 , 1 , 1 , 1 
Bannen , NightsWatch , M , 0 , 0 , 0 , 0 , 1 , 0 , 0 
BarbreyDustin , Stark , F , 1 , 1 , 0 , 0 , 0 , 0 , 1 
Barra , None , F , 0 , 0 , 1 , 0 , 0 , 0 , 0 
BarristanSelmy , Targaryen , M , 1 , 1 , 1 , 1 , 1 , 0 , 1 
Barsena , None , F , 0 , 0 , 0 , 0 , 0 , 0 , 1 
Barth(brewer) , HouseStark , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
Bass , NightsWatch , M , 0 , 1 , 1 , 0 , 0 , 0 , 0 
BayardNorcross , Tyrell , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
BeardedBen , NightsWatch , M , 0 , 1 , 0 , 0 , 0 , 1 , 0 
Becca , HouseArryn , F , 0 , 1 , 1 , 0 , 0 , 0 , 0 
BeccatheBaker , None , F , 0 , 0 , 0 , 0 , 1 , 0 , 0 
Bedwyck , NightsWatch , M , 0 , 1 , 0 , 1 , 1 , 0 , 1 
Belaquo , None , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
Bella , None , F , 0 , 1 , 0 , 0 , 1 , 0 , 0 
BellegereOtherys(courtesan) , None , F , 1 , 1 , 0 , 0 , 0 , 1 , 0 
BellonaraOtherys , None , F , 1 , 1 , 0 , 0 , 0 , 1 , 0 
Belwas , HouseTargaryen , M , 0 , 1 , 0 , 1 , 1 , 0 , 1 
Ben , None , M , 0 , 1 , 0 , 0 , 0 , 1 , 0 
BenBones , None , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
BenPlumm , None , M , 0 , 1 , 0 , 0 , 1 , 0 , 1 
BenedarBelmore , Arryn , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
BenfredTallhart , Stark , M , 1 , 0 , 0 , 1 , 0 , 0 , 0 
BenfreyFrey , None , M , 1 , 0 , 0 , 0 , 1 , 0 , 0 
BenjenStark , NightsWatch , M , 1 , 0 , 1 , 0 , 0 , 0 , 0 
Bennet , None , M , 0 , 0 , 0 , 0 , 0 , 1 , 0 
BericDondarrion , None , M , 1 , 0 , 1 , 0 , 1 , 0 , 0 
Bessa(Winterfell) , Stark , F , 0 , 1 , 1 , 0 , 0 , 0 , 0 
BethCassel , Stark , F , 1 , 1 , 1 , 1 , 0 , 0 , 0 
BhakazzoLoraq , None , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
BigBoil , Wildling , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
BigWalderFrey , None , M , 1 , 1 , 1 , 1 , 0 , 0 , 1 
Biter , None , M , 0 , 0 , 0 , 1 , 0 , 1 , 0 
BlackBernarr , NightsWatch , M , 0 , 1 , 0 , 0 , 1 , 0 , 1 
BlackWalderFrey , None , M , 1 , 1 , 0 , 0 , 1 , 0 , 0 
Blane , NightsWatch , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
Bloodbeard , None , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
BlueBard , HouseTyrell , M , 0 , 1 , 0 , 0 , 0 , 1 , 0 
BoniferHasty , Lannister , M , 1 , 1 , 0 , 1 , 0 , 1 , 0 
Borcas , NightsWatch , M , 0 , 1 , 1 , 0 , 0 , 0 , 0 
BoremundHarlaw , Greyjoy , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
BorosBlount , Baratheon , M , 1 , 1 , 1 , 1 , 1 , 1 , 1 
Borroq , Wildling , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
BowenMarsh , NightsWatch , M , 0 , 1 , 1 , 0 , 1 , 0 , 1 
BranStark , HouseStark , M , 1 , 1 , 1 , 1 , 1 , 0 , 1 
BrandonNorrey , Stark , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
Brenett , None , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
BrienneofTarth , Stark , F , 1 , 1 , 0 , 1 , 1 , 1 , 1 
Bronn , Lannister , M , 1 , 1 , 1 , 1 , 1 , 0 , 0 
BrownBernarr , NightsWatch , M , 0 , 0 , 0 , 1 , 1 , 0 , 0 
Brusco , None , M , 0 , 1 , 0 , 0 , 0 , 1 , 1 
BryanFossoway , Baratheon , M , 1 , 0 , 1 , 1 , 0 , 0 , 0 
BryceCaron , Baratheon , M , 1 , 0 , 1 , 1 , 0 , 0 , 0 
Bryen , None , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
BryenFarring , Baratheon , M , 1 , 0 , 0 , 1 , 0 , 0 , 1 
BryndenRivers , HouseTargaryen , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
BryndenTully , HouseTully , M , 1 , 1 , 1 , 1 , 1 , 1 , 0 
BurtonCrakehall , Lannister , M , 1 , 0 , 1 , 1 , 0 , 0 , 0 
Butterbumps , HouseTyrell , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
ByamFlint , NightsWatch , M , 0 , 0 , 0 , 0 , 1 , 0 , 0 
ByanVotyris , None , M , 0 , 1 , 1 , 0 , 0 , 0 , 0 
Byron , Arryn , M , 0 , 1 , 0 , 0 , 0 , 1 , 0 
Cadwyn , HouseLannister , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
Caleotte , HouseMartell , M , 0 , 1 , 0 , 0 , 0 , 1 , 1 
CatelynTully , HouseStark , F , 1 , 0 , 1 , 1 , 1 , 0 , 0 
Cayn , HouseStark , M , 0 , 0 , 1 , 0 , 0 , 0 , 0 
Cellador , NightsWatch , M , 0 , 1 , 1 , 0 , 1 , 0 , 1 
CerseiFrey , None , F , 1 , 1 , 0 , 0 , 1 , 0 , 0 
CerseiLannister , HouseLannister , F , 1 , 1 , 1 , 1 , 1 , 1 , 1 
Chataya , None , F , 0 , 1 , 0 , 1 , 0 , 0 , 0 
Chayle , Stark , M , 0 , 0 , 1 , 1 , 0 , 0 , 0 
Chella , Lannister , F , 0 , 1 , 1 , 1 , 1 , 0 , 0 
Chett , NightsWatch , M , 0 , 0 , 1 , 1 , 1 , 0 , 0 
Chiggen , Lannister , M , 0 , 0 , 1 , 0 , 0 , 0 , 0 
Chiswyck , None , M , 0 , 0 , 0 , 1 , 0 , 0 , 0 
ClaytonSuggs , Baratheon , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
ClementPiper , Tully , M , 1 , 1 , 0 , 0 , 0 , 1 , 0 
CleosFrey , None , M , 1 , 0 , 0 , 1 , 1 , 0 , 0 
CleyCerwyn , Stark , M , 1 , 0 , 0 , 1 , 0 , 0 , 0 
ClubfootKarl , NightsWatch , M , 0 , 0 , 0 , 0 , 1 , 0 , 1 
Clydas , NightsWatch , M , 0 , 1 , 1 , 0 , 1 , 1 , 1 
Cohollo , None , M , 0 , 0 , 1 , 0 , 0 , 0 , 0 
Coldhands , None , M , 0 , 1 , 0 , 0 , 1 , 0 , 1 
Colemon , HouseArryn , M , 0 , 1 , 1 , 0 , 1 , 1 , 0 
ColenofGreenpools , HouseBaratheon , M , 1 , 1 , 0 , 1 , 0 , 0 , 0 
Conn , Lannister , M , 0 , 0 , 1 , 0 , 0 , 0 , 0 
Conwy , NightsWatch , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
CorlissPenny , Baratheon , M , 0 , 1 , 0 , 0 , 0 , 0 , 1 
CortnayPenrose , Baratheon , M , 1 , 0 , 0 , 1 , 0 , 0 , 0 
CotterPyke , NightsWatch , M , 0 , 1 , 0 , 0 , 1 , 0 , 0 
Cragorn , HouseGreyjoy , M , 0 , 0 , 0 , 0 , 0 , 1 , 0 
Craster , None , M , 0 , 0 , 0 , 1 , 1 , 0 , 0 
CreganKarstark , Stark , M , 1 , 1 , 0 , 0 , 0 , 0 , 1 
CreightonLongbough , None , M , 0 , 1 , 0 , 0 , 0 , 1 , 0 
Cressen , Baratheon , M , 0 , 0 , 0 , 1 , 0 , 0 , 0 
Cuger , NightsWatch , M , 0 , 1 , 1 , 0 , 0 , 0 , 0 
Cutjack , None , M , 0 , 1 , 0 , 1 , 0 , 0 , 0 
DaarioNaharis , Targaryen , M , 0 , 1 , 0 , 0 , 1 , 0 , 1 
